Contract,PaymentMethod,Total_Customers,Churned_Customers,Churn_Rate_Pct,Avg_MonthlyCharges,Total_MRR
Month-to-month,Bank transfer (automatic),589,201,34.13,69.09,40691.3
Month-to-month,Credit card (automatic),543,178,32.78,67.68,36749.6
Month-to-month,Electronic check,1850,994,53.73,74.99,138730.55
Month-to-month,Mailed check,893,282,31.58,46.05,41122.7
One year,Bank transfer (automatic),391,38,9.72,67.48,26386.3
One year,Credit card (automatic),398,41,10.3,67.97,27053.0
One year,Electronic check,347,64,18.44,79.1,27446.05
One year,Mailed check,337,23,6.82,44.31,14931.25
Two year,Bank transfer (automatic),564,19,3.37,65.01,36667.85
Two year,Credit card (automatic),581,13,2.24,64.42,37429.25
Two year,Electronic check,168,13,7.74,84.34,14168.4
Two year,Mailed check,382,3,0.79,38.59,14740.35
