customerID,tenure,Contract,InternetService,PaymentMethod,TechSupport,OnlineSecurity,PaperlessBilling,MonthlyCharges,TotalCharges,Churn,Churn_Probability,Churn_Risk_Score,Risk_Tier,Predicted_LTV,Expected_Monthly_Loss,Expected_LTV_Loss,Value_Segment,Action_Quadrant,Recommended_Action
7590-VHVEG,1,Month-to-month,DSL,Electronic check,No,No,Yes,29.85,29.85,No,0.3909,39.1,Medium Risk,30.0,11.67,11.73,Standard Value,Low Maintenance,Standard Account Care & Feature Discovery
5575-GNVDE,34,One year,DSL,Mailed check,No,Yes,No,56.95,1889.5,No,0.0306,3.1,Low Risk,1928.81,1.74,59.02,Standard Value,Low Maintenance,Standard Account Care & Feature Discovery
3668-QPYBK,2,Month-to-month,DSL,Mailed check,No,Yes,Yes,53.85,108.15,Yes,0.4953,49.5,High Risk,108.78,26.67,53.88,Standard Value,Automated Nurture,Digital Drip: $5/mo Contract Lock-In Offer
7795-CFOCW,45,One year,DSL,Bank transfer (automatic),Yes,Yes,No,42.3,1840.75,No,0.0289,2.9,Low Risk,1888.21,1.22,54.57,Standard Value,Low Maintenance,Standard Account Care & Feature Discovery
9237-HQITU,2,Month-to-month,Fiber optic,Electronic check,No,No,Yes,70.7,151.65,Yes,0.8085,80.8,Critical Risk,142.88,57.16,115.52,High Value,Immediate Intervention,VIP Concierge: 12-mo Contract + Free Tech Support Bundle
9305-CDSKC,8,Month-to-month,Fiber optic,Electronic check,No,No,Yes,99.65,820.5,Yes,0.8732,87.3,Critical Risk,803.27,87.01,701.42,High Value,Immediate Intervention,VIP Concierge: 12-mo Contract + Free Tech Support Bundle
1452-KIOVK,22,Month-to-month,Fiber optic,Credit card (automatic),No,No,Yes,89.1,1949.4,No,0.4229,42.3,Medium Risk,1967.24,37.68,831.95,High Value,Core VIP Protect,Loyalty Perks: Speed Boost & Exclusive Support Line
6713-OKOMC,10,Month-to-month,DSL,Mailed check,No,Yes,No,29.75,301.9,No,0.2498,25.0,Low Risk,302.36,7.43,75.53,Standard Value,Low Maintenance,Standard Account Care & Feature Discovery
7892-POOKP,28,Month-to-month,Fiber optic,Electronic check,Yes,No,Yes,104.8,3046.05,Yes,0.7479,74.8,Critical Risk,3042.02,78.38,2275.13,High Value,Immediate Intervention,VIP Concierge: 12-mo Contract + Free Tech Support Bundle
6388-TABGU,62,One year,DSL,Bank transfer (automatic),No,Yes,No,56.15,3487.95,No,0.0127,1.3,Low Risk,3473.8,0.71,44.12,Standard Value,Low Maintenance,Standard Account Care & Feature Discovery
9763-GRSKD,13,Month-to-month,DSL,Mailed check,No,Yes,Yes,49.95,587.45,No,0.1245,12.4,Low Risk,622.49,6.22,77.5,Standard Value,Low Maintenance,Standard Account Care & Feature Discovery
7469-LKBCI,16,Two year,No,Credit card (automatic),No internet service,No internet service,No,18.95,326.8,No,0.0153,1.5,Low Risk,305.52,0.29,4.67,Standard Value,Low Maintenance,Standard Account Care & Feature Discovery
8091-TTVAX,58,One year,Fiber optic,Credit card (automatic),No,No,No,100.35,5681.1,No,0.1441,14.4,Low Risk,5787.64,14.46,834.0,High Value,Core VIP Protect,Loyalty Perks: Speed Boost & Exclusive Support Line
0280-XJGEX,49,Month-to-month,Fiber optic,Bank transfer (automatic),No,No,Yes,103.7,5036.3,Yes,0.6957,69.6,High Risk,5085.23,72.14,3537.79,High Value,Immediate Intervention,VIP Concierge: 12-mo Contract + Free Tech Support Bundle
5129-JLPIS,25,Month-to-month,Fiber optic,Electronic check,Yes,Yes,Yes,105.5,2686.05,No,0.535,53.5,High Risk,2681.09,56.44,1434.38,High Value,Immediate Intervention,VIP Concierge: 12-mo Contract + Free Tech Support Bundle
3655-SNQYZ,69,Two year,Fiber optic,Credit card (automatic),Yes,Yes,No,113.25,7895.15,No,0.0286,2.9,Low Risk,7838.26,3.24,224.17,High Value,Core VIP Protect,Loyalty Perks: Speed Boost & Exclusive Support Line
8191-XWSZG,52,One year,No,Mailed check,No internet service,No internet service,No,20.65,1022.95,No,0.0178,1.8,Low Risk,1065.31,0.37,18.96,Standard Value,Low Maintenance,Standard Account Care & Feature Discovery
9959-WOFKT,71,Two year,Fiber optic,Bank transfer (automatic),No,Yes,No,106.7,7382.25,No,0.0368,3.7,Low Risk,7506.57,3.93,276.24,High Value,Core VIP Protect,Loyalty Perks: Speed Boost & Exclusive Support Line
4190-MFLUW,10,Month-to-month,DSL,Credit card (automatic),Yes,No,No,55.2,528.35,Yes,0.1407,14.1,Low Risk,541.69,7.77,76.22,Standard Value,Low Maintenance,Standard Account Care & Feature Discovery
4183-MYFRB,21,Month-to-month,Fiber optic,Electronic check,No,No,Yes,90.05,1862.9,No,0.3242,32.4,Medium Risk,1839.54,29.19,596.38,High Value,Core VIP Protect,Loyalty Perks: Speed Boost & Exclusive Support Line
8779-QRDMV,1,Month-to-month,DSL,Electronic check,No,No,Yes,39.65,39.65,Yes,0.8107,81.1,Critical Risk,39.6,32.14,32.1,Standard Value,Automated Nurture,Digital Drip: $5/mo Contract Lock-In Offer
1680-VDCWW,12,One year,No,Bank transfer (automatic),No internet service,No internet service,No,19.8,202.25,No,0.0395,4.0,Low Risk,226.01,0.78,8.93,Standard Value,Low Maintenance,Standard Account Care & Feature Discovery
1066-JKSGK,1,Month-to-month,No,Mailed check,No internet service,No internet service,No,20.15,20.15,Yes,0.5133,51.3,High Risk,20.15,10.34,10.34,Standard Value,Automated Nurture,Digital Drip: $5/mo Contract Lock-In Offer
3638-WEABW,58,Two year,DSL,Credit card (automatic),Yes,No,Yes,59.9,3505.1,No,0.0174,1.7,Low Risk,3473.01,1.04,60.43,Standard Value,Low Maintenance,Standard Account Care & Feature Discovery
6322-HRPFA,49,Month-to-month,DSL,Credit card (automatic),Yes,Yes,No,59.6,2970.3,No,0.0396,4.0,Low Risk,2935.47,2.36,116.24,Standard Value,Low Maintenance,Standard Account Care & Feature Discovery
6865-JZNKO,30,Month-to-month,DSL,Bank transfer (automatic),No,Yes,Yes,55.3,1530.6,No,0.0786,7.9,Low Risk,1599.98,4.35,125.76,Standard Value,Low Maintenance,Standard Account Care & Feature Discovery
