,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,PaperlessBilling,MonthlyCharges,TotalCharges,Churn,MultipleLines_No phone service,MultipleLines_Yes,InternetService_Fiber optic,InternetService_No,OnlineSecurity_No internet service,OnlineSecurity_Yes,OnlineBackup_No internet service,OnlineBackup_Yes,DeviceProtection_No internet service,DeviceProtection_Yes,TechSupport_No internet service,TechSupport_Yes,StreamingTV_No internet service,StreamingTV_Yes,StreamingMovies_No internet service,StreamingMovies_Yes,Contract_One year,Contract_Two year,PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check
gender,1.0,-0.0010689338322745004,-0.0005827353180936018,0.01091232729987474,0.006369801052436753,-0.00779886176256873,-0.011496752301566585,-0.012361098081345737,0.0008789736100254737,-0.008694454423355587,0.007798861762568763,-0.008198783697704621,-0.009898212762765366,0.003164281458652835,0.003164281458652835,-0.015838679180150736,0.003164281458652835,-0.012523044073705906,0.003164281458652835,-0.00020892414082112183,0.003164281458652835,-0.007996393730824121,0.003164281458652835,-0.006487766221177186,0.003164281458652835,-0.009471005407495441,0.008196289142579092,-0.003145654018453245,0.002070196313080871,0.0014518424923412462,0.011726548081565607
SeniorCitizen,-0.0010689338322745004,1.0,0.016029698812090817,-0.21147927350428206,0.014456173356536015,0.008724402591267893,0.15592218763916776,0.21913077646633553,0.10164182484663062,0.15126973344109365,-0.00872440259126788,0.1424027149304134,0.2545558207592922,-0.181713115662142,-0.181713115662142,-0.039257570524187,-0.181713115662142,0.06603872840608967,-0.181713115662142,0.05888057157670416,-0.181713115662142,-0.06129254029951564,-0.181713115662142,0.1048302454448088,-0.181713115662142,0.11924653720077792,-0.0470532336060699,-0.11689832006077171,-0.024909356818357375,0.17094948338369642,-0.1518404112071899
Partner,-0.0005827353180936018,0.016029698812090817,1.0,0.4512537900954197,0.37956359172954257,0.019420409664914314,-0.014856379289132826,0.09527693112851365,0.3170206258910063,-0.1486699705986241,-0.019420409664914425,0.14033834687205332,0.0002124277781254878,0.0028229298903843644,0.0028229298903843644,0.14172225514756104,0.0028229298903843644,0.13997097384758334,0.0028229298903843644,0.15170940287103063,0.0028229298903843644,0.11851822352488549,0.0028229298903843644,0.12238701009021243,0.0028229298903843644,0.11597866785579199,0.08166124069257329,0.24611443666713412,0.08088876932193492,-0.08385615726340805,-0.09385434888922546
Dependents,0.01091232729987474,-0.21147927350428206,0.4512537900954197,1.0,0.16128788169627103,-0.00040833951283518997,-0.11097262107308607,-0.11464091329678212,0.06276224651251734,-0.16236591625235994,0.00040833951283524494,-0.026102965501425147,-0.16513957730846368,0.14109987141863511,0.14109987141863511,0.07959144576301859,0.14109987141863511,0.02218669427247116,0.14109987141863511,0.012436210836988067,0.14109987141863511,0.06182540517789185,0.14109987141863511,-0.018146226796508944,0.14109987141863511,-0.0400729031800216,0.06824262671305611,0.200783469807825,0.06012478295425955,-0.14986221376922212,0.05915922319916552
tenure,0.006369801052436753,0.014456173356536015,0.37956359172954257,0.16128788169627103,1.0,0.009217227850234959,0.003709185600075106,0.2441938563379701,0.8252930182775516,-0.3533388959189177,-0.009217227850234955,0.3301943763373358,0.016640190572776017,-0.03364059657508977,-0.03364059657508977,0.32679824940925173,-0.03364059657508977,0.3594453511299873,-0.03364059657508977,0.35983330094351174,-0.03364059657508977,0.32376088776850453,-0.03364059657508977,0.27807675373827945,-0.03364059657508977,0.28321155628502803,0.2008716028961641,0.5632734652229627,0.23138539146071968,-0.2115827573793197,-0.2289016623287201
PhoneService,-0.00779886176256873,0.008724402591267893,0.019420409664914314,-0.00040833951283518997,0.009217227850234959,1.0,0.017017228272083528,0.24962523251918914,0.11422187791718161,0.011072173147362417,-1.0000000000000002,0.28077569041928063,0.2909971982306423,0.1714454147960842,0.1714454147960842,-0.09109767317055303,0.1714454147960842,-0.05143956905951898,0.1714454147960842,-0.06940101028960531,0.1714454147960842,-0.09455860572148529,0.1714454147960842,-0.02059496061979224,0.1714454147960842,-0.032697341556314305,-0.002614958047138763,0.005022011451053632,-0.006380635057384541,0.0028899198136895237,-0.005708125222184377
PaperlessBilling,-0.011496752301566585,0.15592218763916776,-0.014856379289132826,-0.11097262107308607,0.003709185600075106,0.017017228272083528,1.0,0.3509001571239092,0.15744903762907736,0.1905183823817348,-0.01701722827208351,0.1634618962591832,0.3252948591571889,-0.3190824963202606,-0.3190824963202606,-0.004621501476128627,-0.3190824963202606,0.1267397858593737,-0.3190824963202606,0.10370493187368639,-0.3190824963202606,0.03705959513615982,-0.3190824963202606,0.2241514126889272,-0.3190824963202606,0.21145592974317765,-0.05284574890602166,-0.1471036057009535,-0.01422073605927914,0.20756923880057337,-0.2025206754920835
MonthlyCharges,-0.012361098081345737,0.21913077646633553,0.09527693112851365,-0.11464091329678212,0.2441938563379701,0.24962523251918914,0.3509001571239092,1.0,0.6505400604492684,0.19400837993670011,-0.24962523251918906,0.4900156671470314,0.7871687010031179,-0.7621811941137641,-0.7621811941137641,0.2953975652244559,-0.7621811941137641,0.4407110712831009,-0.7621811941137641,0.4819194446408835,-0.7621811941137641,0.33736075555478584,-0.7621811941137641,0.6293356713565921,-0.7621811941137641,0.6268849039022866,0.00327125280909024,-0.07515165894462852,0.028552087317282423,0.269930582593562,-0.37332428208547414
TotalCharges,0.0008789736100254737,0.10164182484663062,0.3170206258910063,0.06276224651251734,0.8252930182775516,0.11422187791718161,0.15744903762907736,0.6505400604492684,1.0,-0.19836180568327952,-0.1142218779171814,0.46764081516307965,0.3607682763911036,-0.3736547431969741,-0.3736547431969741,0.4115412028212323,-0.3736547431969741,0.5090486492276701,-0.3736547431969741,0.5218632796068724,-0.3736547431969741,0.431822475122143,-0.3736547431969741,0.5145483256314577,-0.3736547431969741,0.5187041367252436,0.16929984457513997,0.3570163595756698,0.18138714980700346,-0.06105950991421802,-0.2925977790775959
Churn,-0.008694454423355587,0.15126973344109365,-0.1486699705986241,-0.16236591625235994,-0.3533388959189177,0.011072173147362417,0.1905183823817348,0.19400837993670011,-0.19836180568327952,1.0,-0.011072173147362413,0.041887823510602995,0.30761193582898294,-0.2282201274566382,-0.2282201274566382,-0.1705648403150181,-0.2282201274566382,-0.08114491301916918,-0.2282201274566382,-0.06497772030911768,-0.2282201274566382,-0.16398028131543546,-0.2282201274566382,0.06505803766263492,-0.2282201274566382,0.06266967947906671,-0.17774201267726783,-0.301375198077799,-0.1340521343668536,0.3010787990044494,-0.0916490583847915
